TimeStamp,CpuUsage,CpuTemp,IrTemp,CpuPkgPower,CpuPL1,ThermalThrottling
2023-08-24_15-58-24-729,100,96,37,92.25180765,55,1
2023-08-24_15-58-25-761,100,96,37,90.83862586,55,1
2023-08-24_15-58-26-794,100,96,37,90.83862586,55,1
2023-08-24_15-58-27-828,100,96,37,88.46949668,55,1
2023-08-24_15-58-28-859,100,96,38,83.21095979,55,1
2023-08-24_15-58-29-889,100,98,38,86.42285842,55,1
2023-08-24_15-58-30-924,100,96,38,90.94644274,55,1
2023-08-24_15-58-31-955,100,98,38,82.11540913,55,1
2023-08-24_15-58-32-987,100,98,38,91.35868085,55,1
2023-08-24_15-58-34-019,100,96,38,87.49057041,55,1
2023-08-24_15-58-35-052,100,96,38,85.09774313,55,1
2023-08-24_15-58-36-084,100,96,38,86.69438263,55,1
2023-08-24_15-58-37-116,100,96,38,82.58912542,55,1
2023-08-24_15-58-38-149,100,96,38,89.95642346,55,1
2023-08-24_15-58-39-181,100,98,38,93.50950713,55,1
2023-08-24_15-58-40-209,100,94,38,89.48991374,55,1
2023-08-24_15-58-41-240,100,96,38,79.88301536,55,1
2023-08-24_15-58-42-272,100,96,38,92.32336913,55,1
2023-08-24_15-58-43-304,100,96,38,92.1865282,55,1
2023-08-24_15-58-44-335,100,98,38,95.11249147,55,1
2023-08-24_15-58-45-368,100,98,38,95.11249147,55,1
2023-08-24_15-58-46-398,100,98,38,82.43109185,55,1
2023-08-24_15-58-47-430,99.93692,96,38,89.62374535,55,1
2023-08-24_15-58-48-463,100,96,38,90.61331809,55,1
2023-08-24_15-58-49-496,100,96,38,90.3737774,55,1
2023-08-24_15-58-50-577,94.52585,96,38,84.48631839,55,1
2023-08-24_15-58-51-619,4.77703,94,38,73.91760168,55,1
2023-08-24_15-58-52-635,3.514374,53,38,14.52059394,55,1
2023-08-24_15-58-53-650,3.294516,51,38,14.61079777,55,0
2023-08-24_15-58-54-669,3.672194,51,38,13.53705126,55,0
2023-08-24_15-58-55-690,2.075222,51,38,13.05604529,55,0
2023-08-24_15-58-56-708,2.942896,49,38,14.85211784,55,0
2023-08-24_15-58-57-728,3.028341,49,38,13.97647594,55,0
2023-08-24_15-58-58-749,3.294295,49,38,14.25046281,55,0
